name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path,project_name
Design development and permitting,Preconstruction & Permitting,critical,2024-01-01,2024-01-31,100,false,true,Lumière Brickell Marriott Autograph Collection
Miami-Dade building permit issued,Preconstruction & Permitting,critical,2024-01-31,2024-01-31,100,true,true,Lumière Brickell Marriott Autograph Collection
Dewatering and excavation,Foundation & Shoring,critical,2024-01-20,2024-04-30,100,false,true,Lumière Brickell Marriott Autograph Collection
Shoring system and soldier piles,Foundation & Shoring,critical,2024-02-01,2024-05-31,100,false,true,Lumière Brickell Marriott Autograph Collection
Caisson drilling - 62 caissons,Foundation & Shoring,critical,2024-03-01,2024-07-31,100,false,true,Lumière Brickell Marriott Autograph Collection
Mat slab and grade beams,Foundation & Shoring,high,2024-06-01,2024-09-30,100,false,false,Lumière Brickell Marriott Autograph Collection
Parking garage structure Level P1-P4,Structural Concrete & Steel,high,2024-04-01,2024-10-31,100,false,false,Lumière Brickell Marriott Autograph Collection
Podium concrete Level 1-8,Structural Concrete & Steel,critical,2024-06-01,2024-11-30,100,false,true,Lumière Brickell Marriott Autograph Collection
Tower concrete Level 9-28,Structural Concrete & Steel,critical,2024-09-01,2025-04-30,100,false,true,Lumière Brickell Marriott Autograph Collection
Tower concrete Level 29-42,Structural Concrete & Steel,critical,2025-02-01,2025-08-31,100,false,true,Lumière Brickell Marriott Autograph Collection
Structural steel - rooftop and amenity levels,Structural Concrete & Steel,high,2025-06-01,2025-10-31,100,false,false,Lumière Brickell Marriott Autograph Collection
Topping out milestone,Structural Concrete & Steel,critical,2025-08-31,2025-08-31,100,true,true,Lumière Brickell Marriott Autograph Collection
Curtain wall Level 1-14,Curtain Wall & Building Envelope,critical,2024-10-01,2025-04-30,100,false,true,Lumière Brickell Marriott Autograph Collection
Curtain wall Level 15-28,Curtain Wall & Building Envelope,critical,2025-04-01,2025-10-31,100,false,true,Lumière Brickell Marriott Autograph Collection
Curtain wall Level 29-42,Curtain Wall & Building Envelope,critical,2025-09-01,2026-01-14,100,false,true,Lumière Brickell Marriott Autograph Collection
Curtain wall complete milestone,Curtain Wall & Building Envelope,critical,2026-01-14,2026-01-14,100,true,true,Lumière Brickell Marriott Autograph Collection
Roofing and waterproofing,Curtain Wall & Building Envelope,high,2025-08-01,2026-03-31,85,false,false,Lumière Brickell Marriott Autograph Collection
MEP rough-in Level B1 through Level 8,MEP Rough-In,critical,2024-06-01,2025-03-31,100,false,true,Lumière Brickell Marriott Autograph Collection
