invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name,gl_account
receivable,2025-01-01,1897200,0,2025-01-05,Monthly Rent Collection - January 2025 (544 units),paid,,,Brickell Bay Condominiums,4000
receivable,2025-01-01,60000,0,2025-01-05,Parking Income - January 2025,paid,,,Brickell Bay Condominiums,4010
receivable,2025-01-01,11250,0,2025-01-05,Pet Fees - January 2025 (150 pets),paid,,,Brickell Bay Condominiums,4020
receivable,2025-01-01,5000,0,2025-01-05,Laundry & Vending - January 2025,paid,,,Brickell Bay Condominiums,4030
receivable,2025-01-01,15000,0,2025-01-05,Utility Reimbursement - January 2025,paid,,,Brickell Bay Condominiums,4090
receivable,2025-02-01,1897200,0,2025-02-05,Monthly Rent Collection - February 2025 (544 units),paid,,,Brickell Bay Condominiums,4000
receivable,2025-02-01,60000,0,2025-02-05,Parking Income - February 2025,paid,,,Brickell Bay Condominiums,4010
receivable,2025-02-01,11250,0,2025-02-05,Pet Fees - February 2025 (150 pets),paid,,,Brickell Bay Condominiums,4020
receivable,2025-02-01,5000,0,2025-02-05,Laundry & Vending - February 2025,paid,,,Brickell Bay Condominiums,4030
receivable,2025-02-01,15000,0,2025-02-05,Utility Reimbursement - February 2025,paid,,,Brickell Bay Condominiums,4090
receivable,2025-03-01,1897200,0,2025-03-05,Monthly Rent Collection - March 2025 (544 units),paid,,,Brickell Bay Condominiums,4000
receivable,2025-03-01,60000,0,2025-03-05,Parking Income - March 2025,paid,,,Brickell Bay Condominiums,4010
receivable,2025-03-01,11250,0,2025-03-05,Pet Fees - March 2025,paid,,,Brickell Bay Condominiums,4020
receivable,2025-03-01,5000,0,2025-03-05,Laundry & Vending - March 2025,paid,,,Brickell Bay Condominiums,4030
receivable,2025-03-01,15000,0,2025-03-05,Utility Reimbursement - March 2025,paid,,,Brickell Bay Condominiums,4090
receivable,2025-04-01,1897200,0,2025-04-05,Monthly Rent Collection - April 2025 (544 units),paid,,,Brickell Bay Condominiums,4000
receivable,2025-04-01,60000,0,2025-04-05,Parking Income - April 2025,paid,,,Brickell Bay Condominiums,4010
receivable,2025-04-01,11250,0,2025-04-05,Pet Fees - April 2025,paid,,,Brickell Bay Condominiums,4020
