name,property_type,address_line1,city,state,zip,year_built,total_sqft,total_units,purchase_price,current_value
"9025 Baseline Rd, Mesa, AZ 85205",single_family,9025 Baseline Rd,Mesa,AZ,85205,2009,1920,1,438661,482527
"1910 Country Club Dr, Mesa, AZ 85202",single_family,1910 Country Club Dr,Mesa,AZ,85202,2016,1480,1,323021,445768
"4382 Southern Ave, Mesa, AZ 85201",single_family,4382 Southern Ave,Mesa,AZ,85201,2005,1480,1,413032,454335
"1701 Country Club Dr, Mesa, AZ 85205",single_family,1701 Country Club Dr,Mesa,AZ,85205,2011,1480,1,337286,499183
"7228 Country Club Dr, Mesa, AZ 85205",single_family,7228 Country Club Dr,Mesa,AZ,85205,2011,1920,1,490285,725621
"8678 Greenfield Rd, Mesa, AZ 85201",single_family,8678 Greenfield Rd,Mesa,AZ,85201,2015,1480,1,366570,447215
"5208 Mesa Dr, Mesa, AZ 85202",single_family,5208 Mesa Dr,Mesa,AZ,85202,2008,1920,1,459624,560741
"2437 Baseline Rd, Mesa, AZ 85203",single_family,2437 Baseline Rd,Mesa,AZ,85203,2003,1480,1,345983,422099
"3719 Greenfield Rd, Mesa, AZ 85203",single_family,3719 Greenfield Rd,Mesa,AZ,85203,2017,1480,1,342289,472358
"1743 Southern Ave, Mesa, AZ 85202",single_family,1743 Southern Ave,Mesa,AZ,85202,2007,1480,1,337972,500198
"1386 Country Club Dr, Mesa, AZ 85205",single_family,1386 Country Club Dr,Mesa,AZ,85205,2004,1480,1,335611,369172
"5449 Baseline Rd, Mesa, AZ 85203",single_family,5449 Baseline Rd,Mesa,AZ,85203,2013,1920,1,437627,647687
"2469 Baseline Rd, Mesa, AZ 85202",single_family,2469 Baseline Rd,Mesa,AZ,85202,2010,1920,1,444894,613953
"1363 Mesa Dr, Mesa, AZ 85205",single_family,1363 Mesa Dr,Mesa,AZ,85205,2008,1920,1,438414,605011
"3646 Stapley Dr, Mesa, AZ 85205",single_family,3646 Stapley Dr,Mesa,AZ,85205,2007,1150,1,325951,397660
"5277 Baseline Rd, Mesa, AZ 85203",single_family,5277 Baseline Rd,Mesa,AZ,85203,2009,1920,1,433796,642018
"2393 Country Club Dr, Mesa, AZ 85202",single_family,2393 Country Club Dr,Mesa,AZ,85202,2010,1920,1,435946,479540
"3190 Mesa Dr, Mesa, AZ 85203",single_family,3190 Mesa Dr,Mesa,AZ,85203,2008,1150,1,304309,371256
"8294 Stapley Dr, Mesa, AZ 85205",single_family,8294 Stapley Dr,Mesa,AZ,85205,2012,1920,1,477341,658730
"8834 Baseline Rd, Mesa, AZ 85201",single_family,8834 Baseline Rd,Mesa,AZ,85201,2012,1480,1,418197,577111
"5916 Country Club Dr, Mesa, AZ 85201",single_family,5916 Country Club Dr,Mesa,AZ,85201,2011,1920,1,446013,615497
"7206 Dobson Rd, Mesa, AZ 85202",single_family,7206 Dobson Rd,Mesa,AZ,85202,2010,1480,1,401514,554089
"9202 Dobson Rd, Mesa, AZ 85205",single_family,9202 Dobson Rd,Mesa,AZ,85205,2009,1480,1,348955,425725
"6186 Stapley Dr, Mesa, AZ 85204",single_family,6186 Stapley Dr,Mesa,AZ,85204,2017,1150,1,292373,321610
"7009 Baseline Rd, Mesa, AZ 85202",single_family,7009 Baseline Rd,Mesa,AZ,85202,2003,1480,1,390282,476144
"8896 Baseline Rd, Mesa, AZ 85202",single_family,8896 Baseline Rd,Mesa,AZ,85202,2008,1920,1,470225,573674
"5747 Stapley Dr, Mesa, AZ 85202",single_family,5747 Stapley Dr,Mesa,AZ,85202,2004,1480,1,364905,445184
"9639 Country Club Dr, Mesa, AZ 85203",single_family,9639 Country Club Dr,Mesa,AZ,85203,2017,1480,1,348239,480569
"6960 Baseline Rd, Mesa, AZ 85203",single_family,6960 Baseline Rd,Mesa,AZ,85203,2015,1480,1,417741,509644
"1358 Baseline Rd, Mesa, AZ 85202",single_family,1358 Baseline Rd,Mesa,AZ,85202,2004,1150,1,333554,406935
"2045 Southern Ave, Mesa, AZ 85205",single_family,2045 Southern Ave,Mesa,AZ,85205,2008,1480,1,398197,605259
"7989 Lindsey Rd, Mesa, AZ 85202",single_family,7989 Lindsey Rd,Mesa,AZ,85202,2018,1480,1,352995,388294
