amount,tax_amount,due_date,description,status,vendor_name,project_name
3550000,0,2026-01-30,MEP Payment #3 - Level 25 through Level 36 partial,pending,Florida MEP Contractors,Lumière Brickell Marriott Autograph Collection
1450000,0,2026-02-14,Curtain Wall Payment #3 - Floors 29-42 complete,pending,Premier Curtain Wall Systems,Lumière Brickell Marriott Autograph Collection
2480000,0,2026-01-30,Drywall Payment #2 - Level 13-24 partial,pending,Caribbean Drywall & Framing,Lumière Brickell Marriott Autograph Collection
1680000,0,2026-01-30,Electrical Payment #3 - Level 33-42 partial,pending,Southern Electrical Group,Lumière Brickell Marriott Autograph Collection
900000,0,2026-02-14,Marble and Stone Payment #2 - Spa and amenity areas,pending,Florida Marble & Stone Works,Lumière Brickell Marriott Autograph Collection
340000,0,2026-02-14,FF&E Procurement Management Fee - Q4 2025,pending,Luxury FF&E Procurement LLC,Lumière Brickell Marriott Autograph Collection
820000,0,2026-02-15,AV Technology Systems Payment #1 - Ballroom conduit and rough-in,approved,AV Integration Solutions FL,Lumière Brickell Marriott Autograph Collection
560000,0,2026-02-15,Pool and Spa Payment #2 - Tile and deck work,approved,Aqua Hospitality Systems,Lumière Brickell Marriott Autograph Collection
480000,0,2026-02-15,Fire Protection Payment #2 - Level 23-38,approved,SunFire Protection Inc,Lumière Brickell Marriott Autograph Collection
640000,0,2026-02-15,Elevator Payment #2 - Guide rails Level 23-42 and cab rough-in,approved,Brickell Elevator Solutions,Lumière Brickell Marriott Autograph Collection
