account_number,name,account_type,sub_type,description
1000,Cash & Equivalents,asset,Current Asset,Operating cash and short-term deposits
1010,Accounts Receivable,asset,Current Asset,Amounts owed by clients for completed work
1020,Retainage Receivable,asset,Current Asset,Retainage held by clients pending project completion
1030,Work in Progress,asset,Current Asset,Costs incurred on uncompleted contracts
1040,Prepaid Expenses,asset,Current Asset,Insurance premiums and deposits paid in advance
1100,Equipment & Vehicles,asset,Fixed Asset,Construction equipment and fleet vehicles
1110,Accumulated Depreciation - Equipment,asset,Fixed Asset,Depreciation on equipment and vehicles
1200,Office Furniture & Fixtures,asset,Fixed Asset,Office equipment and furnishings
2000,Accounts Payable,liability,Current Liability,Amounts owed to vendors and subcontractors
2010,Retainage Payable,liability,Current Liability,Retainage held from subcontractors
2020,Accrued Payroll,liability,Current Liability,Wages and salaries earned but not yet paid
2030,Accrued Taxes,liability,Current Liability,Payroll taxes and income taxes payable
2040,Short-Term Loans,liability,Current Liability,Line of credit and short-term borrowings
2100,Long-Term Debt,liability,Long-Term Liability,Equipment loans and mortgages
3000,Owner's Equity,equity,Owner's Equity,Capital contributed by company owners
3010,Retained Earnings,equity,Retained Earnings,Accumulated net income from prior years
4000,Contract Revenue,revenue,Operating Revenue,Revenue earned from construction contracts
4010,Change Order Revenue,revenue,Operating Revenue,Revenue from approved change orders
4020,T&M Revenue,revenue,Operating Revenue,Time and materials billing revenue
5000,Direct Labor,expense,Cost of Revenue,Wages for field workers and tradespeople
5010,Subcontractor Costs,expense,Cost of Revenue,Payments to subcontractors
5020,Materials,expense,Cost of Revenue,Lumber cement steel and supplies
5030,Equipment Costs,expense,Cost of Revenue,Equipment rental fuel and maintenance
5040,Permits & Fees,expense,Cost of Revenue,Building permits and inspection fees
6000,Office Salaries,expense,Operating Expense,Administrative and office staff wages
6010,Rent & Utilities,expense,Operating Expense,Office rent and utility bills
6020,Insurance,expense,Operating Expense,General liability and workers compensation
6030,Professional Fees,expense,Operating Expense,Legal and accounting services
6040,Vehicle Expense,expense,Operating Expense,Fleet fuel maintenance and insurance
6050,Office Supplies,expense,Operating Expense,General office supplies and software
7000,Interest Expense,expense,Other Expense,Interest on loans and credit lines
7010,Depreciation Expense,expense,Other Expense,Monthly depreciation on fixed assets
