entry_date,hours,overtime_hours,description,cost_code
2026-02-03,10,2,Reid Luxury Resort - concrete pour floors 31-32. Pump coordination and quality control. Cylinder testing.,03300
2026-02-03,8,0,Port Container Terminal - AGV test track paving supervision and compaction testing.,32120
2026-02-03,8,0,Energy Corridor Tower C - curtain wall installation floors 12-14 south face coordination.,08440
2026-02-03,8,1.5,Museum Park Residences - Tower B framing floors 22-24. MEP coordination meeting.,06100
2026-02-03,8,0,Foster Medical Center - pile driving operations monitoring. Geotechnical inspection.,31620
2026-02-03,8,0,Safety inspections - multi-site rounds. Tower C Hardy Toll Road and Kemp Petrochem.,01500
2026-02-04,8,0,Reid Luxury Resort - guest room framing floors 8-12. Bathroom rough-in layout.,06100
2026-02-04,10,2,Port Container Terminal - STS crane #7 commissioning. Load testing at 75% capacity.,41200
2026-02-04,8,0,Hardy Toll Road - sound wall panel erection stations 32+00 to 38+00.,03400
2026-02-04,8,1,Sugar Land Town Square - retail building B masonry exterior courses 12-16.,04200
2026-02-04,8,0,Drake Waterfront - marine bulkhead sheet pile driving operations.,31410
2026-02-04,8,0,HISD Magnet School - asbestos abatement monitoring and air sampling.,02820
2026-02-05,8,0,Reid Luxury Resort - elevator cab installation shaft 2 floors 1-10.,14200
2026-02-05,8,2,Energy Corridor Tower C - mechanical penthouse HVAC equipment setting.,23050
2026-02-05,10,2,Port Container Terminal - electrical cable termination substation Panel A.,26240
2026-02-05,8,0,Museum Park Residences - balcony railing post installation Tower A floors 20-25.,05500
2026-02-05,8,0,Kemp Petrochemical - tank T-5 and T-6 bottom plate welding.,05500
2026-02-05,8,0,Woodlands Mixed-Use Village - site grading and utility rough-in coordination.,31100
2026-02-06,8,0,Foster Medical Center - pile cap forming and rebar tying grid lines A-F.,03200
2026-02-06,8,1.5,Reid Luxury Resort - pool deck waterproofing level 5 continuing.,07100
2026-02-06,8,0,Hardy Toll Road - paving segment 2 base course placement station 24+00 to 32+00.,32120
2026-02-06,8,0,Sugar Land Town Square - performing arts venue structural steel erection.,05120
2026-02-06,8,0,Drake Waterfront - concrete mat slab rebar tying sections 1-4.,03200
2026-02-06,4,0,Safety stand-down - company-wide. Forklift safety review and operator retesting.,01500
2026-02-07,8,2,Reid Luxury Resort - concrete pour floors 33-34 deck. 380 CY pumped.,03300
2026-02-07,8,0,Energy Corridor Tower C - interior drywall floors 6-8. Ceiling grid installation.,09250
2026-02-07,8,0,Port Container Terminal - container tracking sensor installation berths 1-2.,28230
2026-02-07,8,0,Museum Park Residences - plumbing rough-in Tower B floors 18-20.,15100
2026-02-07,8,0,Kemp Petrochemical - tank T-7 shell course 1 erection and welding.,05500
2026-02-07,8,0,HISD Magnet School - demolition of gymnasium interior. Structural assessment.,02410
