entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-002,2025-01-31,January Retainage - I-81 SVA,VDOT-RET,1020,185000,,Retainage 10% on January billing
JE-002,2025-01-31,January Retainage - I-81 SVA,VDOT-RET,1010,,185000,Reclassify retainage from AR
JE-003,2025-01-31,January Direct Costs - I-81 SVA,COSTS-JAN,5100,810000,,Field labor wages January
JE-003,2025-01-31,January Direct Costs - I-81 SVA,COSTS-JAN,5010,228375,,Labor burden January
JE-003,2025-01-31,January Direct Costs - I-81 SVA,COSTS-JAN,5100,0,,
JE-003,2025-01-31,January Direct Costs - I-81 SVA,COSTS-JAN,2000,,1038375,Accounts payable and accrued
JE-005,2025-01-31,January Materials - I-81 SVA,MAT-JAN,5200,385000,,Aggregate and materials January
JE-005,2025-01-31,January Materials - I-81 SVA,MAT-JAN,2000,,385000,Materials payable
JE-006,2025-01-31,January Equipment Costs - I-81 SVA,EQUIP-JAN,5300,215000,,Fuel and lubrication January
JE-006,2025-01-31,January Equipment Costs - I-81 SVA,EQUIP-JAN,5310,74000,,Repairs and maintenance
JE-006,2025-01-31,January Equipment Costs - I-81 SVA,EQUIP-JAN,5320,39873,,Equipment depreciation allocated
JE-006,2025-01-31,January Equipment Costs - I-81 SVA,EQUIP-JAN,1000,,328873,Cash and accrued equipment costs
JE-007,2025-01-31,January Overhead,OVH-JAN,5400,103333,,PM and superintendent salaries
JE-007,2025-01-31,January Overhead,OVH-JAN,5410,28933,,PM burden
JE-007,2025-01-31,January Overhead,OVH-JAN,5510,51667,,Home office salaries
JE-007,2025-01-31,January Overhead,OVH-JAN,5600,40417,,Insurance
JE-007,2025-01-31,January Overhead,OVH-JAN,5700,23333,,Bond premium
JE-007,2025-01-31,January Overhead,OVH-JAN,5800,15417,,Permits and fees
JE-007,2025-01-31,January Overhead,OVH-JAN,5900,7917,,Small tools
JE-007,2025-01-31,January Overhead,OVH-JAN,5910,12083,,Temp facilities
JE-007,2025-01-31,January Overhead,OVH-JAN,1000,,283100,Cash disbursements overhead
JE-008,2025-01-31,January Equipment Loan,LOAN-JAN,2050,23750,,Equipment loan principal
JE-008,2025-01-31,January Equipment Loan,LOAN-JAN,6000,23750,,Interest expense
