title,description,topic,scheduled_date,attendees_count,notes,project_name
Fall Protection at Heights Above 6 Feet,Reviewed OSHA 1926 Subpart M requirements. Demonstrated proper full-body harness fit adjustment and inspection. Covered anchor point selection for steel erection and curtain wall installation. Discussed self-retracting lifeline vs shock-absorbing lanyard selection.,Fall Protection,2026-01-06,42,All Tower C and Resort high-rise crews attended. Distributed new harness inspection pocket cards. 3 harnesses failed inspection and were removed from service.,Energy Corridor Campus Tower C
Crane Signal Person Responsibilities,Covered standard hand signals per ASME B30.5. Reviewed radio communication protocols for multi-crane lifts. Discussed signal person qualification requirements and daily competency verification. Practiced signals in field exercise.,Crane Safety,2026-01-08,28,All crane operators and signal persons attended across all jobsites. Updated signal chart posters at all crane locations. Scheduled requalification for 2 signal persons.,Reid Luxury Resort & Spa
Confined Space Entry and Rescue,Reviewed OSHA 1926.1203 permit-required confined space procedures. Covered atmospheric testing requirements and monitoring frequency. Demonstrated tripod and winch rescue equipment setup. Practiced emergency extraction scenario.,Confined Space,2026-01-10,35,Critical for Kemp Petrochemical tank work and Port Terminal below-grade utility work. All entrants attendants and rescue team members present. Updated confined space inventory list.,Kemp Petrochemical Storage Facility
Excavation and Trenching Competent Person,Covered soil classification using manual testing methods. Reviewed Type A B and C soil protective system requirements. Discussed dewatering effects on soil stability. Field exercise classifying actual site soils.,Excavation Safety,2026-01-13,22,Hardy Toll Road and Drake Waterfront excavation crews. Competent person designations verified. 2 new employees completed competent person qualification.,Hardy Toll Road Widening Segment 3
Electrical Safety and Arc Flash Awareness,Detailed review of arc flash incident at Port Terminal substation. Covered approach boundaries and PPE requirements for various voltage levels. Demonstrated proper lockout tagout procedures. Reviewed energized work permit process.,Electrical Safety,2026-01-15,48,MANDATORY company-wide attendance following recent arc flash incident. All trades represented. Distributed updated arc flash boundary labels. Ordered additional arc-rated PPE.,Port Container Terminal Automation
Heat Illness Prevention and Hydration,Covered heat stress index calculation and work-rest cycles. Reviewed symptoms of heat exhaustion vs heat stroke. Discussed acclimatization requirements for new and returning workers. Distributed hydration packs and electrolyte supplements.,Heat Illness Prevention,2026-01-17,38,All field personnel required. Reviewed 2025 heat incidents. Updated water station locations for all projects. Established buddy system for extreme heat days.,Museum Park High-Rise Residences
Scaffolding Inspection and Use,Reviewed scaffold assembly standards and component inspection. Covered wind load considerations following Museum Park scaffold collapse incident. Discussed competent person inspection requirements and scaffold tagging system.,Scaffolding,2026-01-20,30,All scaffold users and erectors. Updated wind speed monitoring protocol. New requirement: scaffolds secured at end of each shift for overnight wind events.,Museum Park High-Rise Residences
Forklift and Material Handling Safety,Comprehensive review following 2024 fatality at Port Terminal. Covered seatbelt requirements and interlock systems. Reviewed terrain assessment before operation. Discussed load capacity and stability triangle. Practiced pre-operation inspections.,Forklift Safety,2026-01-22,55,MANDATORY company-wide attendance. Emotional presentation from safety director. All forklift operators re-tested. New seatbelt interlock policy effective immediately.,Port Container Terminal Automation
Silica Dust Exposure Control,Reviewed OSHA silica rule Table 1 control methods. Covered wet cutting requirements for concrete and masonry. Demonstrated proper respirator fit testing and seal checks. Discussed exposure monitoring and medical surveillance requirements.,Silica Safety,2026-01-24,25,All concrete cutting grinding and masonry crews. Verified all saw operators have current fit test cards. Ordered additional water suppression attachments for portable saws.,Sugar Land Town Square Expansion
Emergency Action Plan and Evacuation Drill,Conducted full-scale evacuation drill across all Houston-area jobsites simultaneously. Timed assembly and headcount procedures. Tested emergency communication chain from field to office. Reviewed severe weather shelter locations.,Emergency Response,2026-01-27,180,All employees company-wide. Evacuation times: Tower C 4min 20sec Resort 5min 45sec Port 3min 10sec. Two assembly point improvements identified.,
Marine Safety and Over-Water Work,Covered requirements for work over water at Drake Waterfront marine bulkhead. Reviewed life vest requirements and rescue boat positioning. Discussed cold water immersion risks and rescue techniques. Practiced throw-ring deployment.,Marine Safety,2026-01-29,18,All Drake Waterfront marine crew and support workers. Following safety inspection deficiency. Ordered additional rescue equipment. Assigned dedicated marine safety watch person.,Drake Waterfront Condominiums
Rigging and Load Handling,Reviewed sling capacity and angle factor calculations. Covered wire rope inspection criteria and rejection standards. Discussed multi-crane pick planning and communication requirements. Practiced load weight estimation exercise.,Rigging Safety,2026-01-31,32,All riggers crane operators and workers in crane operation zones. Updated load weight reference cards. Removed 4 questionable slings from service pending inspection.,Foster Regional Medical Center
