subject,question,priority,due_date,project_name
Roof truss to concrete seat beam connection detail at Section 14-16 ductwork conflict,Architectural and structural drawings show primary roof truss lower chord at elevation +88 feet at grid lines 14-16. Bechtel MEP drawings show 48-inch supply air duct routing at elevation +87 feet in same bay creating direct conflict with structural member. Please provide revised structural detail or coordinate MEP routing around truss. Impacting erection sequence.,high,2026-02-01,Hard Rock Legacy Stadium
Press box glazing frame thermal break specification,Specification section 08 44 13 calls for thermally broken aluminum framing for press box curtain wall however structural drawings do not show allowance for differential thermal movement at floor connections. Press box spans 285 feet and thermal expansion calculations indicate 1.75 inches of movement. Please confirm anchorage detail allows for movement or issue revised detail.,high,2026-02-15,Hard Rock Legacy Stadium
Stadium bowl drainage slope tolerance at Row 42 premium club,Architectural drawings indicate 3-percent drainage slope for premium club level seating area. Structural as-built survey of poured slab shows 2.4-percent average slope in zones C through F. Is as-built condition acceptable or is grinding required? Seating sub Hussey needs confirmed slope before proceeding with installation template.,medium,2026-03-01,Hard Rock Legacy Stadium
Suite finish schedule conflict - Suite Nos. 101-125 flooring,Interior finish schedule shows LVP flooring in standard suites 101-125. Owner submitted alternate substitution request for 12x24 porcelain tile. Spec section 09 65 00 requires flooring to be slip-resistant DCOF 0.42 minimum. Proposed porcelain is rated 0.38 DCOF. Does owner accept variance or select compliant product?,medium,2026-03-15,Hard Rock Legacy Stadium
Scoreboard support steel galvanizing vs painted finish,Structural spec section 05 12 00 requires hot-dip galvanizing for all exposed exterior steel. Daktronics scoreboard support frame is shop painted per their standard. Field galvanizing not feasible for complex frame geometry. Please confirm painted system with cathodic protection is acceptable alternative or issue spec modification.,high,2026-02-28,Hard Rock Legacy Stadium
Indoor practice bubble foundation anchorage at anchor bolt group,Civil and structural drawings show anchor bolt group for practice bubble base ring on 8-foot grid. Geotechnical report boring B-14 encountered soft limestone at -12 feet at northwest corner - different from design assumption of competent limestone at -8 feet. Kiewit requesting geotechnical engineer clarify bearing capacity and whether helical pier supplement required at northwest quadrant.,critical,2026-01-25,Hurricane Football Performance Center
Weight room structural loading - equipment point loads,Football facility structural drawings specify 100 PSF live load for weight room floor system. UM Athletics provided equipment list showing two Olympic lifting platforms each with 4 column legs applying 28-kip point loads at 4-foot spacing. Walter P Moore to confirm whether slab-on-grade and framing designed for these concentrated loads or if additional reinforcing required.,high,2026-02-10,Hurricane Football Performance Center
Practice field irrigation system integration with synthetic turf,Outdoor practice Field 1 shows conventional underground irrigation system per landscape drawings. FieldTurf synthetic turf spec requires specific drainage mat and infill compatibility with irrigation systems. FieldTurf engineer requesting confirmation that proposed irrigation heads will not conflict with turf drain mat layer and that irrigation is intended for cooling function not biological irrigation.,medium,2026-03-10,Hurricane Football Performance Center
Athlete Village Tower 1 balcony waterproofing membrane termination,Structural drawings show balcony slabs cantilevering 6 feet from face of building. Waterproofing spec calls for membrane to terminate at interior face of building at a curb condition. Architectural detail does not show how membrane coordinates with sliding glass door threshold. Please provide detail at threshold and confirm if membrane goes under door track assembly.,medium,2026-03-20,Coral Gables Athlete Village
Athlete Village dining hall kitchen grease interceptor location,Plumbing drawings show 3000-gallon grease interceptor in mechanical room B101. Miami-Dade plumbing code requires interceptors to be accessible for inspection from grade or grade-level access. B101 is 14 feet below grade and would require confined-space entry for inspection. Code compliance issue - please provide revised location or engineer alternate compliance path.,critical,2026-02-05,Coral Gables Athlete Village
Admin tower sky bridge structural connection to stadium,Admin tower structural drawings show sky bridge connection at Level 5 of tower. Stadium structural drawings do not show corresponding connection bracket. Bridge is pre-engineered steel. Need confirmation that stadium structure has been designed for the imposed dead load of 85 kips and live load of 120 kips from bridge. Coordinate between Walter P Moore and stadium structural team.,critical,2026-01-28,Hurricane Athletic Administration Tower
Admin tower exterior LED facade lighting power supply,Architectural rendering shows dynamic LED lighting on all four tower facades. Electrical drawings do not show power supply for LED system. Elara Systems scope of work does not include tower facade lighting only interior and stadium systems. Clarify scope responsibility - is facade lighting a separate bid package or included in Elara scope?,high,2026-02-20,Hurricane Athletic Administration Tower
