entry_date,hours,overtime_hours,description,cost_code
2026-01-06,10,2,Lumière Hotel - curtain wall installation supervision floors 18-22. Panel alignment check and sealant inspection.,08440
2026-01-06,8,0,Lumière Hotel - MEP BIM coordination and RFI log update. Submittal log review with Florida MEP PM.,15000
2026-01-07,10,2,Lumière Hotel - drywall inspection floors 8-10. Framing inspection floors 13-15. Marriott brand rep coordination.,09250
2026-01-07,8,0,Lumière Hotel - owner meeting with LuxeBridge and Marriott - mock-up review and schedule update presentation.,01310
2026-01-08,10,0,Lumière Hotel - guest room mock-up walk with Marriott brand director. Documented 6 comments and prepared RFI-009.,09900
2026-01-08,8,0,Lumière Hotel - FF&E coordination call with Luxury FF&E Procurement LLC. Long-lead items status review - case goods and soft goods.,02820
2026-01-09,10,2,Lumière Hotel - curtain wall inspection floors 30-33. Sealant testing witness with Premier Curtain Wall QC.,08440
2026-01-09,8,0,Lumière Hotel - change order CO-007 cost review. EV charging station scope review with Southern Electrical.,01310
2026-01-12,10,2,Lumière Hotel - rooftop Level 42 bar structure inspection. Steel framing complete verification. Crane jump supervision.,05120
2026-01-12,8,0,Lumière Hotel - pool deck flood test preparation Level 5. Waterproofing final inspection with Elite Roofing.,07100
2026-01-13,8,0,Lumière Hotel - lender walk-through facilitation with Frank Deluca. Floors 1-20 tour and draw request documentation.,01310
2026-01-13,10,2,Lumière Hotel - curtain wall floors 38-40 supervision. Final penthouse panels. Punch list prep.,08440
2026-01-14,8,0,Lumière Hotel - curtain wall complete milestone documentation. CO-008 scope review - rooftop bar expansion.,01310
2026-01-14,10,2,Lumière Hotel - pool coping tile installation inspection Level 5. Ballroom HVAC AHU setting supervision Level 2.,07310
2026-01-15,8,0,Lumière Hotel - Marriott FF&E sample approval documentation. Kitchen equipment shop drawing review.,02820
2026-01-15,10,2,Lumière Hotel - lobby marble grand stair inspection. Electrical trim-out floors 8-10 starting supervision.,09630
