title,project_name,spec_section,due_date
PT Slab System Shop Drawings Level 26-30,The Meridian at River North,03 38 00,2026-02-01
Unitized Curtain Wall Level 25-34 Closeout,The Meridian at River North,08 44 13,2026-02-15
Residential Unit Finish Schedule - Smart Home Package,The Meridian at River North,27 51 23,2026-03-01
Elevator Cab Finishes and Fixtures - Approval,The Meridian at River North,14 21 00,2026-02-10
ICRA Risk Assessment Update Level 3-5 Construction,St. Dominic Medical Center Expansion,01 35 29,2026-02-20
Medical Gas Piping System - Engineer of Record Certification,St. Dominic Medical Center Expansion,22 63 00,2026-03-15
OR Suite AHU and Pressurization Shop Drawings,St. Dominic Medical Center Expansion,23 73 13,2026-02-28
Negative Pressure Isolation Room Monitoring System,St. Dominic Medical Center Expansion,22 61 13,2026-03-10
Biomedical Equipment Rough-In Coordination - OR 1 and OR 2,St. Dominic Medical Center Expansion,11 72 00,2026-03-20
Geotechnical Investigation Report - Foundation Basis of Design,Paladin Resort & Casino,02 32 00,2026-03-01
Gaming Floor Slab Specification - FF50 FL35 Certification Plan,Paladin Resort & Casino,03 35 43,2026-04-15
NGCB Contractor Registration and Access Protocol Plan,Paladin Resort & Casino,01 14 00,2026-05-01
Curtain Wall System for Tower - Performance Mock-Up,Paladin Resort & Casino,08 44 00,2026-08-01
Dock Leveler Hardware - Final Product Confirmation,Mid-South Logistics Park - Building 2,11 13 16,2026-01-15
ESFR Sprinkler System - Final As-Built Drawings,Mid-South Logistics Park - Building 2,21 13 36,2026-01-20
LEED Silver Certification - Final Documentation Package,Mid-South Logistics Park - Building 2,01 81 13,2026-02-01
50-Meter Competition Pool Timing System - USA Swimming Cert,Denver Southwest Recreation & Aquatics Center,13 11 13,2026-05-01
Geothermal Bore Field As-Built Survey,Denver Southwest Recreation & Aquatics Center,23 81 46,2026-06-15
Solar PV System - Single-Line Diagram and Structural,Denver Southwest Recreation & Aquatics Center,26 31 00,2026-06-01
Aquatics Pool Finish and Tile - Owner Sample Approval,Denver Southwest Recreation & Aquatics Center,09 30 00,2026-04-15
