invoice_type,invoice_date,amount,tax_amount,due_date,description,status,vendor_name,client_name,project_name
receivable,2025-01-31,17800000,0,2025-01-31,Progress Billing #001 - January 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-02-28,18100000,0,2025-02-28,Progress Billing #002 - February 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-03-31,18500000,0,2025-03-31,Progress Billing #003 - March 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-04-30,19200000,0,2025-04-30,Progress Billing #004 - April 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-05-31,18800000,0,2025-05-31,Progress Billing #005 - May 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-06-30,17500000,0,2025-06-30,Progress Billing #006 - June 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-07-31,16200000,0,2025-07-31,Progress Billing #007 - July 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-08-31,15800000,0,2025-08-31,Progress Billing #008 - August 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-09-30,16500000,0,2025-09-30,Progress Billing #009 - September 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-10-31,17200000,0,2025-10-31,Progress Billing #010 - October 2025 - Hard Rock Legacy Stadium,paid,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-11-30,16800000,0,2025-11-30,Progress Billing #011 - November 2025 - Hard Rock Legacy Stadium,pending,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-12-31,15800000,0,2025-12-31,Progress Billing #012 - December 2025 - Hard Rock Legacy Stadium,pending,,University of Miami,Hard Rock Legacy Stadium
receivable,2025-01-31,5200000,0,2025-01-31,Progress Billing #013 - January 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-02-28,5100000,0,2025-02-28,Progress Billing #014 - February 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-03-31,4800000,0,2025-03-31,Progress Billing #015 - March 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-04-30,4500000,0,2025-04-30,Progress Billing #016 - April 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-05-31,2000000,0,2025-05-31,Progress Billing #017 - May 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-06-30,1800000,0,2025-06-30,Progress Billing #018 - June 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-07-31,1500000,0,2025-07-31,Progress Billing #019 - July 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-08-31,1250000,0,2025-08-31,Progress Billing #020 - August 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-09-30,1100000,0,2025-09-30,Progress Billing #021 - September 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-10-31,950000,0,2025-10-31,Progress Billing #022 - October 2025 - Hurricane Football Performance Center,paid,,University of Miami,Hurricane Football Performance Center
receivable,2025-11-30,800000,0,2025-11-30,Progress Billing #023 - November 2025 - Hurricane Football Performance Center,pending,,University of Miami,Hurricane Football Performance Center
receivable,2025-12-31,350000,0,2025-12-31,Progress Billing #024 - December 2025 - Hurricane Football Performance Center,pending,,University of Miami,Hurricane Football Performance Center
receivable,2025-01-31,2200000,0,2025-01-31,Progress Billing #025 - January 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-02-28,2100000,0,2025-02-28,Progress Billing #026 - February 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-03-31,2000000,0,2025-03-31,Progress Billing #027 - March 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-04-30,1900000,0,2025-04-30,Progress Billing #028 - April 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-05-31,800000,0,2025-05-31,Progress Billing #029 - May 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-06-30,1200000,0,2025-06-30,Progress Billing #030 - June 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-07-31,1100000,0,2025-07-31,Progress Billing #031 - July 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-08-31,1000000,0,2025-08-31,Progress Billing #032 - August 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-09-30,900000,0,2025-09-30,Progress Billing #033 - September 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-10-31,700000,0,2025-10-31,Progress Billing #034 - October 2025 - Coral Gables Athlete Village,paid,,University of Miami,Coral Gables Athlete Village
receivable,2025-11-30,500000,0,2025-11-30,Progress Billing #035 - November 2025 - Coral Gables Athlete Village,pending,,University of Miami,Coral Gables Athlete Village
receivable,2025-12-31,400000,0,2025-12-31,Progress Billing #036 - December 2025 - Coral Gables Athlete Village,pending,,University of Miami,Coral Gables Athlete Village
receivable,2025-01-31,1100000,0,2025-01-31,Progress Billing #037 - January 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-02-28,1050000,0,2025-02-28,Progress Billing #038 - February 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-03-31,1000000,0,2025-03-31,Progress Billing #039 - March 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-04-30,1000000,0,2025-04-30,Progress Billing #040 - April 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-05-31,900000,0,2025-05-31,Progress Billing #041 - May 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-06-30,700000,0,2025-06-30,Progress Billing #042 - June 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-07-31,900000,0,2025-07-31,Progress Billing #043 - July 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-08-31,800000,0,2025-08-31,Progress Billing #044 - August 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-09-30,700000,0,2025-09-30,Progress Billing #045 - September 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-10-31,600000,0,2025-10-31,Progress Billing #046 - October 2025 - Hurricane Athletic Administration Tower,paid,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-11-30,550000,0,2025-11-30,Progress Billing #047 - November 2025 - Hurricane Athletic Administration Tower,pending,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-12-31,450000,0,2025-12-31,Progress Billing #048 - December 2025 - Hurricane Athletic Administration Tower,pending,,University of Miami,Hurricane Athletic Administration Tower
receivable,2025-01-31,3800000,0,2025-01-31,Progress Billing #049 - January 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-02-28,3500000,0,2025-02-28,Progress Billing #050 - February 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-03-31,3200000,0,2025-03-31,Progress Billing #051 - March 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-04-30,3000000,0,2025-04-30,Progress Billing #052 - April 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-05-31,2800000,0,2025-05-31,Progress Billing #053 - May 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-06-30,2500000,0,2025-06-30,Progress Billing #054 - June 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-07-31,2200000,0,2025-07-31,Progress Billing #055 - July 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-08-31,1800000,0,2025-08-31,Progress Billing #056 - August 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-09-30,2000000,0,2025-09-30,Progress Billing #057 - September 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-10-31,1800000,0,2025-10-31,Progress Billing #058 - October 2025 - Stadium District Site & Infrastructure,paid,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-11-30,1200000,0,2025-11-30,Progress Billing #059 - November 2025 - Stadium District Site & Infrastructure,pending,,University of Miami,Stadium District Site & Infrastructure
receivable,2025-12-31,1000000,0,2025-12-31,Progress Billing #060 - December 2025 - Stadium District Site & Infrastructure,pending,,University of Miami,Stadium District Site & Infrastructure
payable,2025-01-31,22000000,0,2025-01-31,Progress Payment - Structural Steel Level 3-6,paid,Barton Malow Company,,Hard Rock Legacy Stadium
payable,2025-02-28,24500000,0,2025-02-28,Progress Payment - Roof Truss Structure,paid,Barton Malow Company,,Hard Rock Legacy Stadium
payable,2025-01-31,16500000,0,2025-01-31,Progress Payment - Stadium Bowl Concrete Level 5-6,paid,Hensel Phelps Construction,,Hard Rock Legacy Stadium
payable,2025-03-31,18200000,0,2025-03-31,Progress Payment - Stadium MEP Level 1-3 Rough-in,paid,Bechtel Infrastructure,,Hard Rock Legacy Stadium
payable,2025-04-30,19800000,0,2025-04-30,Progress Payment - Stadium MEP Level 4-6,paid,Bechtel Infrastructure,,Hard Rock Legacy Stadium
payable,2025-02-28,7500000,0,2025-02-28,Progress Payment - Football Facility MEP,paid,Bechtel Infrastructure,,Hurricane Football Performance Center
payable,2025-01-31,5800000,0,2025-01-31,Progress Payment - Parking Structure P1-P2,paid,Ajax Paving Industries,,Stadium District Site & Infrastructure
payable,2025-03-31,4500000,0,2025-03-31,Progress Payment - Campus Plaza Subbase,paid,Ajax Paving Industries,,Stadium District Site & Infrastructure
payable,2025-01-31,3200000,0,2025-01-31,Progress Payment - Athlete Village Concrete,paid,Hensel Phelps Construction,,Coral Gables Athlete Village
payable,2025-06-30,8500000,0,2025-06-30,Progress Payment - Level 5-6 Structural Steel,paid,Barton Malow Company,,Hard Rock Legacy Stadium
payable,2025-09-30,12000000,0,2025-09-30,Progress Payment - Stadium MEP Level 5-Roof,paid,Bechtel Infrastructure,,Hard Rock Legacy Stadium
payable,2025-07-31,6200000,0,2025-07-31,Progress Payment - Concourse Concrete,paid,Hensel Phelps Construction,,Hard Rock Legacy Stadium
